,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
bodyActivityTransformed[8],0.352723,0.00490474,0.0699714,0.238246,0.351427,0.470809,203.521,13.5383,1.01619
bodyActivityTransformed[9],0.335398,0.00392175,0.06944,0.226714,0.333051,0.453203,313.516,20.8552,1.00367
bodyActivityTransformed[10],0.352723,0.00490474,0.0699714,0.238246,0.351427,0.470809,203.521,13.5383,1.01619
bodyActivityTransformed[11],0.352723,0.00490474,0.0699714,0.238246,0.351427,0.470809,203.521,13.5383,1.01619
bodyActivityTransformed[12],0.352723,0.00490474,0.0699714,0.238246,0.351427,0.470809,203.521,13.5383,1.01619
bodyActivityTransformed[13],0.352723,0.00490474,0.0699714,0.238246,0.351427,0.470809,203.521,13.5383,1.01619
bodyActivityTransformed[14],0.352723,0.00490474,0.0699714,0.238246,0.351427,0.470809,203.521,13.5383,1.01619
bodyActivityTransformed[15],0.352723,0.00490474,0.0699714,0.238246,0.351427,0.470809,203.521,13.5383,1.01619
bodyActivityTransformed[16],0.352723,0.00490474,0.0699714,0.238246,0.351427,0.470809,203.521,13.5383,1.01619
bodyActivityTransformed[17],0.335398,0.00392175,0.06944,0.226714,0.333051,0.453203,313.516,20.8552,1.00367
